,task,dataset,boot_iter,algorithm,scoring,n_trees,regularization,train_score,test_score,train_wall_time,test_wall_time,train_cpu_time,test_cpu_time,tunning_wall_time,tunning_cpu_time
0,classification,heart,2,RF-MTRY,AUC,500,"RandomForestClassifier(max_features=0.22970595848121902, n_estimators=500)",1.0,0.92925,0.30948543548583984,0.10907459259033203,0.810861579999937,0.10907543000007536,14.894673824310303,22.995678051000027
0,classification,heart,2,RF-DEPTH,AUC,500,"RandomForestClassifier(max_depth=3, n_estimators=500)",0.961,0.9345,0.2884831428527832,0.05001521110534668,0.6094007699999793,0.050016360000086024,14.496888160705566,23.378031050999994
0,classification,heart,2,HS-RF,AUC,500,50.0,0.9851249999999999,0.9365,0.5399720668792725,0.053131103515625,0.5400349699999651,0.053132819999973435,9.086252927780151,9.086750660999996
0,classification,heart,3,RF,AUC,10,None,0.9971875,0.8599999999999999,0.006178379058837891,0.0013632774353027344,0.006178539999950772,0.0013635999999905835,,
0,classification,heart,3,RF-MTRY,AUC,10,"RandomForestClassifier(max_features=0.35407991140396033, n_estimators=10)",1.0,0.9055,0.03256511688232422,0.0073506832122802734,0.3338757200000373,0.07720415999995112,1.2477262020111084,9.821481659999904
0,classification,heart,3,RF-DEPTH,AUC,10,"RandomForestClassifier(max_depth=9, n_estimators=10)",0.9992500000000001,0.8955000000000001,0.01957082748413086,0.001828908920288086,0.21106371000007584,0.020065349999981663,1.2307636737823486,9.991237260000048
0,classification,heart,3,HS-RF,AUC,10,10.0,0.9974999999999999,0.9047499999999999,0.011201858520507812,0.0013082027435302734,0.011202299999922616,0.0013087199999972654,0.2130749225616455,0.3959333800000877
0,classification,heart,3,RF,AUC,25,None,1.0,0.9204999999999999,0.014661550521850586,0.0029098987579345703,0.0146613099999513,0.002910740000061196,,
0,classification,heart,3,RF-MTRY,AUC,25,"RandomForestClassifier(max_features=0.2024813193888378, n_estimators=25)",1.0,0.9147500000000001,0.03385162353515625,0.0037496089935302734,0.35571902000003774,0.03934556000001521,1.6926608085632324,10.450989103999973
0,classification,heart,3,RF-DEPTH,AUC,25,"RandomForestClassifier(max_depth=3, n_estimators=25)",0.95075,0.9460000000000001,0.021092891693115234,0.0038704872131347656,0.22621350999997958,0.03865034000000378,1.5635008811950684,10.582590399999958
0,classification,heart,3,HS-RF,AUC,25,100.0,0.9805000000000001,0.9195,0.026851177215576172,0.003081083297729492,0.02685282000004463,0.003081929999893873,0.47298479080200195,0.6804936600000246
0,classification,heart,3,RF,AUC,50,None,1.0,0.928,0.028560161590576172,0.00546574592590332,0.02855995000004441,0.005466240000032485,,
0,classification,heart,3,RF-MTRY,AUC,50,"RandomForestClassifier(max_features=0.31330707464349394, n_estimators=50)",1.0,0.92625,0.04377388954162598,0.0070536136627197266,0.4487980899999684,0.075660399999947,2.324856758117676,10.914139620000014
0,classification,heart,3,RF-DEPTH,AUC,50,"RandomForestClassifier(max_depth=2, n_estimators=50)",0.927875,0.9430000000000001,0.04123830795288086,0.006758451461791992,0.4327650899999753,0.0654265599999917,2.3265297412872314,10.768388990000062
0,classification,heart,3,HS-RF,AUC,50,50.0,0.9837499999999999,0.9265,0.052933454513549805,0.005458354949951172,0.05293482000001859,0.005459169999994629,0.9136526584625244,0.9310857799999894
0,classification,heart,3,RF,AUC,75,None,0.9999999999999999,0.9175,0.043027639389038086,0.008053064346313477,0.04302776999998059,0.008053720000020803,,
0,classification,heart,3,RF-MTRY,AUC,75,"RandomForestClassifier(max_features=0.1, n_estimators=75)",1.0,0.94025,0.05600547790527344,0.010886430740356445,0.5224170700000741,0.018236410000099568,3.0142593383789062,11.32700447100001
0,classification,heart,3,RF-DEPTH,AUC,75,"RandomForestClassifier(max_depth=1, n_estimators=75)",0.911875,0.9285000000000001,0.060843706130981445,0.011246681213378906,0.4631688499999882,0.010695030000078987,2.8094375133514404,11.54022347
0,classification,heart,3,HS-RF,AUC,75,100.0,0.9735,0.93,0.08277368545532227,0.008366823196411133,0.08277517999999873,0.008367440000029092,1.3934006690979004,1.3934088600000223
0,classification,heart,3,RF,AUC,100,None,1.0,0.92775,0.05912303924560547,0.011027097702026367,0.05912335000004987,0.011027819999981148,,
0,classification,heart,3,RF-MTRY,AUC,100,RandomForestClassifier(max_features=0.1521770796476547),1.0,0.94875,0.07405710220336914,0.01102137565612793,0.5656871099999989,0.011022570000022824,3.8333821296691895,12.361614450000047
0,classification,heart,3,RF-DEPTH,AUC,100,RandomForestClassifier(max_depth=2),0.933875,0.9265,0.08882975578308105,0.010097026824951172,0.5729367800000773,0.010097959999939121,3.6674728393554688,12.119498170999918
0,classification,heart,3,HS-RF,AUC,100,25.0,0.9914999999999999,0.937,0.10964298248291016,0.010882139205932617,0.10963954999999714,0.010883209999974497,1.8278603553771973,1.827831520000018
0,classification,heart,3,RF,AUC,300,None,1.0,0.9347500000000001,0.1761188507080078,0.03237795829772949,0.17613340000002609,0.03237936000004993,,
0,classification,heart,3,RF-MTRY,AUC,300,"RandomForestClassifier(max_features=0.10000147016084907, n_estimators=300)",0.9999999999999999,0.94075,0.21349549293518066,0.033316612243652344,0.6514365000000453,0.03331915000001118,9.275206565856934,17.99070013100004
0,classification,heart,3,RF-DEPTH,AUC,300,"RandomForestClassifier(max_depth=1, n_estimators=300)",0.9185,0.926,0.1761937141418457,0.027963876724243164,0.6129939100000001,0.027960280000002058,9.062999963760376,17.58775712099998
0,classification,heart,3,HS-RF,AUC,300,1.0,1.0,0.9275,0.31830549240112305,0.03068709373474121,0.3183068700000149,0.030687970000030873,5.350477933883667,5.3509116699999595
0,classification,heart,3,RF,AUC,500,None,1.0,0.9297500000000001,0.2822844982147217,0.05100560188293457,0.2822849399999541,0.051000349999981154,,
0,classification,heart,3,RF-MTRY,AUC,500,"RandomForestClassifier(max_features=0.25218624061099126, n_estimators=500)",1.0,0.93375,0.30875158309936523,0.05165982246398926,0.8620681599999216,0.05165204000002177,14.623373031616211,22.998100501999943
0,classification,heart,3,RF-DEPTH,AUC,500,"RandomForestClassifier(max_depth=1, n_estimators=500)",0.9175,0.9385,0.27191710472106934,0.04760336875915527,0.5280759999999418,0.04758274999994683,14.105112314224243,22.48721944099998
0,classification,heart,3,HS-RF,AUC,500,0.1,1.0,0.9275000000000001,0.536949634552002,0.10656619071960449,0.5369068900000684,0.10655651000001853,8.949031352996826,8.946917351000025
0,classification,heart,4,RF,AUC,10,None,0.999625,0.875,0.006159067153930664,0.001354217529296875,0.006158799999980147,0.0013551199999710661,,
0,classification,heart,4,RF-MTRY,AUC,10,"RandomForestClassifier(max_features=0.7950677022968299, n_estimators=10)",1.0,0.85875,0.009894609451293945,0.0016846656799316406,0.0973985000000539,0.016760210000029474,1.3145155906677246,9.843615460000024
0,classification,heart,4,RF-DEPTH,AUC,10,"RandomForestClassifier(max_depth=6, n_estimators=10)",0.996125,0.856,0.017047882080078125,0.0017936229705810547,0.18647705999990194,0.019331019999981436,1.2083289623260498,9.843478470000036
0,classification,heart,4,HS-RF,AUC,10,25.0,0.987,0.86,0.011098146438598633,0.0013303756713867188,0.011098859999947308,0.0013310699999919962,0.2664957046508789,0.458234379999908
0,classification,heart,4,RF,AUC,25,None,1.0,0.8640000000000001,0.01453256607055664,0.002850055694580078,0.014532289999920067,0.0028508899999906134,,
0,classification,heart,4,RF-MTRY,AUC,25,"RandomForestClassifier(max_features=0.17778788916537208, n_estimators=25)",1.0,0.879,0.023480653762817383,0.0042917728424072266,0.24939352000001236,0.047043970000004265,1.568814754486084,9.982173689999968
0,classification,heart,4,RF-DEPTH,AUC,25,"RandomForestClassifier(max_depth=14, n_estimators=25)",1.0,0.8500000000000001,0.022839069366455078,0.003939390182495117,0.2185145299999931,0.039580249999971784,1.5053350925445557,9.592501690000063
0,classification,heart,4,HS-RF,AUC,25,50.0,0.9815,0.861,0.02649664878845215,0.0030319690704345703,0.026497329999983776,0.0030327399999805493,0.5296790599822998,0.758848769999986
0,classification,heart,4,RF,AUC,50,None,1.0,0.876,0.029150009155273438,0.005615949630737305,0.02914986999996927,0.005616700000018682,,
0,classification,heart,4,RF-MTRY,AUC,50,"RandomForestClassifier(max_features=0.10173756803122465, n_estimators=50)",1.0,0.89325,0.04092764854431152,0.006928920745849609,0.42425491000005877,0.075953649999974,2.301318407058716,10.790488719999985
0,classification,heart,4,RF-DEPTH,AUC,50,"RandomForestClassifier(max_depth=4, n_estimators=50)",0.974625,0.873,0.04227256774902344,0.007382392883300781,0.41171719999999823,0.07824141000003237,2.247948169708252,10.779377060000002
0,classification,heart,4,HS-RF,AUC,50,50.0,0.985375,0.879,0.052512168884277344,0.005595207214355469,0.05251408999993146,0.005597300000090399,0.9100770950317383,1.009358089999978
0,classification,heart,4,RF,AUC,75,None,1.0,0.8807499999999999,0.043784379959106445,0.00812077522277832,0.04378508999991482,0.008121800000026269,,
0,classification,heart,4,RF-MTRY,AUC,75,"RandomForestClassifier(max_features=0.15941504791773686, n_estimators=75)",0.9999999999999999,0.8875,0.06371617317199707,0.008580684661865234,0.4394098399999393,0.008582180000075823,2.8729259967803955,11.414612820000002
0,classification,heart,4,RF-DEPTH,AUC,75,"RandomForestClassifier(max_depth=5, n_estimators=75)",0.9935,0.8965,0.0860588550567627,0.008056163787841797,0.6846544900000708,0.008056710000005296,2.9223389625549316,11.163508361000027
0,classification,heart,4,HS-RF,AUC,75,25.0,0.9905,0.8845000000000001,0.0785825252532959,0.008300065994262695,0.07858368000006521,0.008300770000005286,1.3447668552398682,1.3447673800000075
0,classification,heart,4,RF,AUC,100,None,1.0,0.89525,0.057923078536987305,0.010954856872558594,0.057923790000018016,0.01095560999999634,,
0,classification,heart,4,RF-MTRY,AUC,100,RandomForestClassifier(max_features=0.1),1.0,0.8855000000000001,0.07335996627807617,0.010802745819091797,0.5444935199999463,0.01080348999994385,3.837970018386841,12.508937370000012
0,classification,heart,4,RF-DEPTH,AUC,100,RandomForestClassifier(max_depth=3),0.9606250000000001,0.8815,0.09016251564025879,0.010219335556030273,0.607505070000002,0.010219810000080543,3.5888195037841797,12.191934220000007
0,classification,heart,4,HS-RF,AUC,100,1.0,1.0,0.878,0.10430622100830078,0.010750532150268555,0.10430797000003622,0.010751030000051287,1.8018274307250977,1.8017792010000448
0,classification,heart,4,RF,AUC,300,None,1.0,0.88675,0.17385244369506836,0.031851768493652344,0.17388468000001467,0.03185226999994484,,
0,classification,heart,4,RF-MTRY,AUC,300,"RandomForestClassifier(max_features=0.10018873162232886, n_estimators=300)",1.0,0.8805,0.19077515602111816,0.0323336124420166,0.5606559000000289,0.032335800000055315,9.234606266021729,17.94553277099999
0,classification,heart,4,RF-DEPTH,AUC,300,"RandomForestClassifier(max_depth=4, n_estimators=300)",0.97975,0.8955000000000001,0.19601893424987793,0.03124713897705078,0.380359129999988,0.03124837999985175,9.19046139717102,17.81693144999997
0,classification,heart,4,HS-RF,AUC,300,100.0,0.976375,0.891,0.3146841526031494,0.03181004524230957,0.31468571000004886,0.0318113099999664,5.4130473136901855,5.4134929110000485
