,task,dataset,boot_iter,algorithm,scoring,n_trees,regularization,train_score,test_score,train_wall_time,test_wall_time,train_cpu_time,test_cpu_time,tunning_wall_time,tunning_cpu_time
0,classification,breast-cancer,0,BART,AUC,25,None,0.6327635327635327,0.6439393939393939,1.7541718482971191,0.47835421562194824,0.03318488000002162,0.47835307900001567,,
0,classification,breast-cancer,0,BART,AUC,50,None,0.6505698005698005,0.6363636363636364,3.3365089893341064,0.9494884014129639,0.06588293800001566,0.9494049369999971,,
0,classification,breast-cancer,0,BART,AUC,75,None,0.6582621082621082,0.6363636363636364,5.157260179519653,1.4497754573822021,0.2894988370000249,1.4497805729999982,,
0,classification,breast-cancer,0,BART,AUC,100,None,0.6582621082621082,0.6363636363636364,6.829818964004517,1.8943629264831543,0.2855357659999811,1.894380401999996,,
0,classification,breast-cancer,0,BART,AUC,300,None,0.6767806267806268,0.6439393939393939,21.112738847732544,5.8010828495025635,0.8247993530000031,5.800934429999984,,
0,classification,breast-cancer,0,BART,AUC,500,None,0.6544159544159543,0.6363636363636364,35.90253520011902,9.952821016311646,1.465066735999983,9.952810583000002,,
0,classification,breast-cancer,1,BART,AUC,10,None,0.6566951566951568,0.6287878787878788,0.9266717433929443,0.19802045822143555,0.27611994299999765,0.19802094399997827,,
0,classification,breast-cancer,1,BART,AUC,25,None,0.7014245014245014,0.5984848484848484,1.7294378280639648,0.4973490238189697,0.039370581000014226,0.4973400549999951,,
0,classification,breast-cancer,1,BART,AUC,50,None,0.7029914529914529,0.6060606060606061,3.3604280948638916,0.9807312488555908,0.14583613799999284,0.9807203950000201,,
0,classification,breast-cancer,1,BART,AUC,75,None,0.6566951566951568,0.6026936026936027,5.115389347076416,1.4776957035064697,0.26753044400001613,1.4776372990000084,,
0,classification,breast-cancer,1,BART,AUC,100,None,0.6783475783475784,0.6430976430976431,7.290916919708252,1.920992374420166,0.28399131599999805,1.9209796100000176,,
0,classification,breast-cancer,1,BART,AUC,300,None,0.6821937321937322,0.6245791245791246,21.64053702354431,5.971387147903442,0.9723372820000122,5.971393726000002,,
0,classification,breast-cancer,1,BART,AUC,500,None,0.7099715099715099,0.6245791245791246,35.13026762008667,9.825592994689941,1.2759911770000087,9.824999999,,
0,classification,breast-cancer,2,BART,AUC,10,None,0.5903133903133903,0.5404040404040404,0.8958256244659424,0.19092869758605957,0.21937527900001896,0.19092522199997575,,
0,classification,breast-cancer,2,BART,AUC,25,None,0.628917378917379,0.6439393939393939,1.6199684143066406,0.477618932723999,0.036144210999964344,0.47760704900002793,,
0,classification,breast-cancer,2,BART,AUC,50,None,0.618091168091168,0.5883838383838385,3.4410855770111084,0.9594948291778564,0.14505726700002697,0.9594679300000166,,
0,classification,breast-cancer,2,BART,AUC,75,None,0.628917378917379,0.6254208754208754,4.996514320373535,1.4689786434173584,0.2303849420000006,1.4689630670000042,,
0,classification,breast-cancer,2,BART,AUC,100,None,0.625071225071225,0.6439393939393939,6.565638303756714,1.950279712677002,0.26502618399996436,1.9502907280000272,,
