task,dataset,boot_iter,algorithm,scoring,n_trees,regularization,train_score,test_score,train_wall_time,test_wall_time,train_cpu_time,test_cpu_time,tunning_wall_time,tunning_cpu_time
classification,ionosphere,0,HS-RF,AUC,10,10.0,0.9669047619047618,0.956190476190476,0.010932445526123,0.0013797283172607,0.0109328900000491,0.0013802299999952,0.2179203033447265,0.6434435800000529
classification,ionosphere,0,BART,AUC,10,None,0.8240476190476189,0.9523809523809524,0.767402172088623,0.3374168872833252,0.0875219700000116,0.337410890000001,,
classification,ionosphere,0,RF,AUC,25,None,1.0,0.956190476190476,0.018385887145996,0.003016710281372,0.0183857900000248,0.0030173499999364,,
classification,ionosphere,0,RF-MTRY,AUC,25,"RandomForestClassifier(max_features=0.2794023283770107, n_estimators=25)",1.0,0.956190476190476,0.0310091972351074,0.0040438175201416,0.3721234700000195,0.0484942199999522,1.6878459453582764,10.387864519999994
classification,ionosphere,0,RF-DEPTH,AUC,25,"RandomForestClassifier(max_depth=12, n_estimators=25)",1.0,0.9628571428571427,0.0262696743011474,0.0040004253387451,0.3152527400000053,0.0480191800000966,1.5027339458465576,10.579600599999935
classification,ionosphere,0,HS-RF,AUC,25,0.1,1.0,0.9695238095238096,0.0253486633300781,0.0029981136322021,0.0253493500000558,0.0029984599999579,0.4493937492370605,0.6376765999999634
classification,ionosphere,0,BART,AUC,25,None,0.8538095238095237,0.8980952380952382,1.7014894485473633,0.8299190998077393,0.0532960200000616,0.8299195900000313,,
classification,ionosphere,0,RF,AUC,50,None,1.0,0.9628571428571427,0.0360805988311767,0.0055775642395019,0.0360802200000307,0.0055784699999321,,
classification,ionosphere,0,RF-MTRY,AUC,50,"RandomForestClassifier(max_features=0.19723577792629304, n_estimators=50)",1.0,0.9628571428571427,0.0554358959197998,0.0060193538665771,0.6494622399999344,0.0294341000000031,2.73897385597229,12.099541209999984
classification,ionosphere,0,RF-DEPTH,AUC,50,"RandomForestClassifier(max_depth=13, n_estimators=50)",1.0,0.9628571428571427,0.0527682304382324,0.0069878101348876,0.6124325699998963,0.0139739600000439,2.389845132827759,11.695872339999935
classification,ionosphere,0,HS-RF,AUC,50,25.0,0.9821428571428572,0.9628571428571427,0.0510296821594238,0.0054967403411865,0.0510310199999821,0.0054969599999594,0.8618595600128174,0.8619008000000576
classification,ionosphere,0,BART,AUC,50,None,0.8776190476190475,0.9047619047619048,3.489288330078125,1.6130073070526123,0.182399739999937,1.613024649999943,,
